title,image,product_link,sku:,upc:,project_type:,skill:,difficulty:,info,description,review_count,star_rating,occasion:,season:,theme:,fiber_content:,yarn_weight:,thread_size:
Village Yarn Blue Burst Pot Holders Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/village-yarn-blue-burst-pot-holders-free-download/,F01729,,Pot Holders,Crochet,Easy,F01729  Pot Holders Crochet Easy,"Brighten your kitchen with a splash of color! These pretty and practical pot holders pair solid and multi shades of Village Yarn Craft Cotton yarn to create a beautiful blend of color and texture that makes each petite project a work of hand-stitched art. Stitch the easy crochet pot holder pattern in the blue shades shown, or change up the colors to match your kitchen décor. The pair also makes a thoughtful housewarming gift! Skill Level: Easy Size: 9 x 9"" (22.9 x 22.9cm) Materials: Village Yarn™ Craft Cotton • 5090 Seaside—2 balls • 5007 Blueberry—2 balls Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,,,,,,
Willow Yarns Garden Song Shawlette Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/willow-yarns-garden-song-shawlette-free-download/,F01728,,Shawl,Knit,Easy,F01728  Shawl Knit Easy,"Be ready for backyard garden parties with this lovely little shawlette. The easy knit design trimmed with a pattern of lacy diamonds pairs well with a sundress or a long-sleeve tee for a more casual look. Stitch it in the Wildflowers shade shown or pick another self-striping colorway of Willow Yarns Sylvan yarn for a look entirely your own. Skill Level: Easy Size: •Depth in center: 12"" (30cm) • Width from end to end: 48"" (122cm) Materials: Willow Yarns™ Sylvan • 1003 Wildflowers—3 balls Needles: • US size 10 (6mm) 32"" circular needle or size needed to obtain gauge • US size 11 (8mm) 32"" circular needle (cast on only) Extras: Yarn needle",0,0,,,,,,
Herrschners English Garden Doily Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-english-garden-doily-free-download/,F01727,,Doily,Crochet,Easy,F01727  Doily Crochet Easy,"No green thumb is needed to grow a garden of tiny blossoms to beautify your tabletop. This easy crochet doily pattern blends vintage lace with cheery flower appliqués for a tabletop garden that modernizes the vintage aesthetic for today’s modern stitchers. Stitch the doily in the shades of Herrschners Afghan Yarn shown, or switch up the flower color to match your décor. Skill Level: Easy Size: 26"" (66cm). Materials: Herrschners Afghan Yarn • 0019 Cream—2 balls • 0034 Grass—1 ball • 0041 Blossom—1 ball • 0042 French Pink—1 ball • 0027 Light Teal—1 ball • 0026 Marigold—1 ball Hook: US size E-4 (3.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers",0,0,,,,,,
Herrschners Shamrock Glow Blanket Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-shamrock-glow-blanket-free-download/,F01726,,Blanket,Crochet,Easy,F01726  St. Patrick's Day Blanket Crochet Easy,"It’s your lucky day! This free easy crochet blanket pattern makes stitching fun and easy with self-striping yarn for fewer ends to weave in. Herrschners Worsted 8 Celebrate yarn makes color changes effortless as you crochet a field of shell stitches embellished with a hint of magical sparkle. Stitch it in the St. Patrick’s Day colorway shown, or pick any other shade from the Herrschners Worsted 8 line to make this dazzling design your own! Skill Level: Easy Size: 38 x 58"" (97 x 147cm) Materials: Herrschners Worsted 8 Celebrate Sparkle • 4002 Lucky Charm—4 balls Hook: US size J-10 (6mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",0,0,St. Patrick's Day,,,,,
Herrschners Tilework Bottle Carriers - Set of 2 Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-tilework-bottle-carriers-set-of-2-free-download/,F01725,,Fashion Accessories & Novelties,Crochet,Intermediate,F01725  Fashion Accessories & Novelties Crochet Intermediate,"Stay hydrated on the go with these cute and colorful bottle carriers! Made in two different colorways, this pair of easy crochet bottle carriers pair solid and multi shades of Herrschners Afghan Yarn for an eye-catching look in any colorway you choose. Constructed from square motifs, these fun and easy designs are designed to fit 16-20 oz bottles and feature a long carrying handle for hands-free carrying. Stitch the design in the vibrant colors shown, or try other colorways for a one-of-a-kind look. Skill Level: Easy Size: Fits 16-20 oz bottle Materials: Herrschners Afghan Yarn Teal Version: • 0001 White—1 ball • 0028 Teal—1 ball • 1009 Indigo Tide—1 ball Pink Version: • 0001 White—1 ball • 0042 French Pink—1 ball • 1008 Summer Sunset—1 ball Hook: US size E-4 (3.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",1,5,,,,,,
Willow Yarns Muted Melody Cowl Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/willow-yarns-muted-melody-cowl-free-download/,F01724,,Cowl,Crochet,Intermediate,F01724  Cowl Crochet Intermediate,"Cozy up to colorwork with this exquisitely detailed design. The intermediate knit cowl uses a repeating slip stitch pattern worked two shades at a time to create the fanciful filigree pattern in a gradient of muted hues. Stitched in Willow Yarns Farmhouse Cotton yarn, the light weight cowl is perfect for spring days. Skill Level: Intermediate Size: 7 x 44"" (17.8 x 112cm) Materials: Willow Yarns™ Farmhouse Cotton • 0030 Dusk—2 balls • 0053 Viridian—2 balls • 0049 Dusty Rose—2 balls Needles: US size 10 (6mm) straight needles or size needed to obtain gauge Extras: Yarn needle",1,4,,,,,,
Willow Yarns Lovey Dovey Dishcloths Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/willow-yarns-lovey-dovey-dishcloths-free-download/,F01723,,Dishcloth,Crochet,Intermediate,F01723  Dishcloth Crochet Intermediate,"Add an extra dash of love to the heart of your home! This lovely and lacy set of heart-shaped dishcloths re-creates the look of vintage valentines in modern shades of Willow Meadow yarn for a fresh take on the doily aesthetic. The mix of solid and striped motifs in this intermediate crochet pattern makes a set of six unique designs while keeping the set coordinated as a lovely gift for Valentine’s Day, a bridal shower, or a housewarming party. Skill Level: Intermediate Size: 9"" (22.9cm) dia. Materials: Willow Yarns™ Meadow • 0023 Tidepool—3 balls • 0021 Poppy—3 balls • 0034 Coral Bell—3 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",2,5,,,,,,
Soho Sugar Sky Earflap Hat Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/soho-sugar-sky-earflap-hat-free-download/,F01722,,Hat,Crochet,Easy,F01722  Hat Crochet Easy,"Keep cozy and colorful on cold-weather days. This easy crochet earflap hat enlivens your winter wardrobe with the bright and bold colorways of Soho Lively Bold yarn. This self-striping light weight yarn makes this easy crochet hat pattern even easier, as they stripes appear effortlessly as you stitch—with only a few ends to weave in! Top it off with a fun faux fur pom-pom for a playful finish. Skill Level: Easy Size: 20"" (51cm) circumference Materials: Soho Lively Bold • 4005 Mermaid—2 balls Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, tapestry needle, 2"" faux fur pom-pom",0,0,,,,,,
Herrschners Stitch & Switch Tote Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-stitch-switch-tote-free-download/,F01721,,Bags & Totes,Crochet,Easy,F01721  Bags & Totes Crochet Easy,"Be tote-ally on trend with this granny square bag. The quick and easy crochet pattern made from two large granny square motifs is stitched in bright and bold shades of Herrschners Supreme Worsted yarn for a fabulously fun way to carry your essentials. Stitch it in the pretty-in-pink colorway shown, or mix it up with your favorite colors for a look entirely your own. Skill Level: Easy Size: 13 x 14"" (33 x 36cm) Materials: Herrschners® Supreme Worsted • 0054 Paradise—1 ball • 0024 Pearl—1 ball • 0020 Onyx—1 ball • 0055 Papaya—1 ball • 0004 Geranium—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",2,5,,,,,,
Herrschners Fin-tastic Purse Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-fin-tastic-purse-free-download/,F01708,,Tote,Crochet,Intermediate,F01708  Tote Crochet Intermediate,"Swim around town with a fishy friend to carry your essentials. This adorable amigurumi-inspired purse shaped like a fish makes a fashion accessory fabulously fun for any beach lover or wanna-be mermaid. The intermediate crochet design stitched pairs Herrschners Cheerful DK yarn with the self-striping Herrschners Sweet Swirls yarn to create rainbow scales and fins without having to change colors with every row. Skill Level: Intermediate Size: Approx 12 x 8½"" (30 x 21.5cm) Materials: Herrschners Cheerful DK • 0007 Yellow Daisy—1 ball Herrschners Sweet Swirls • 0002 Beach Ball—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers, two 15mm safety eyes, fiberfill (small amount for eyes)",1,5,,,,,,
